tracklet_id,flight_id,cls,n_steps,n_obs,mean_dir_deg,R,rayleigh_p,median_inlier,disp_px,trusted
302,31,1,10,11,42.91,0.1862,0.717183,0.4545,2.98,False
303,31,1,9,10,85.79,0.1347,0.85643,0.456,72.59,False
304,31,1,49,50,36.06,0.2432,0.054373,0.7013,1584.31,False
305,31,1,0,1,,0.0,1.0,0.0,0.0,False
306,31,1,38,39,48.17,0.1558,0.400212,0.7152,537.1,False
307,31,1,25,26,133.38,0.2429,0.230661,0.7347,9.97,False
308,32,0,11,12,151.69,0.7794,0.000398,0.2618,49.9,False
309,32,0,53,54,324.02,0.1098,0.529894,0.1813,410.67,False
310,32,0,9,10,3.48,0.1222,0.880246,0.2578,83.97,False
311,33,0,15,16,245.45,0.0082,0.999021,0.1333,51.6,False
312,34,1,64,65,348.49,0.073,0.712871,0.3584,1004.23,False
313,37,0,25,26,212.26,0.1064,0.757128,0.1713,737.77,False
314,40,1,64,65,337.82,0.0587,0.803317,0.6351,2344.44,False
315,40,1,4,5,179.84,0.5554,0.31144,0.6305,351.59,False
316,41,1,1,2,88.31,1.0,0.512221,0.0133,370.26,False
317,41,1,54,55,309.14,0.1689,0.215061,0.6542,662.53,False
318,41,1,3,4,166.84,0.8324,0.123675,0.2992,10.35,False
319,41,1,11,12,19.66,0.1144,0.871077,0.6172,144.75,False
320,41,1,7,8,65.17,0.5021,0.17419,0.3891,1245.78,False
321,41,1,2,3,45.76,0.546,0.616937,0.3189,394.79,False
322,41,1,0,1,,0.0,1.0,0.0,0.0,False
323,42,1,64,65,98.19,0.1669,0.168342,0.6114,1269.86,False
324,44,1,13,14,140.0,0.6228,0.004464,0.2602,1448.45,False
325,44,1,3,4,351.57,0.546,0.448121,0.1298,777.61,False
326,44,1,13,14,199.12,0.4091,0.11263,0.2602,106.09,False
327,44,1,45,46,181.8,0.1321,0.458234,0.4894,304.06,False
328,44,1,6,7,153.21,0.1941,0.811064,0.7175,12.87,False
329,44,1,7,8,308.87,0.3042,0.540327,0.7768,128.11,False
330,45,1,27,28,279.23,0.3771,0.020063,0.4044,1837.19,False
331,45,1,42,43,317.91,0.2049,0.171817,0.7064,800.38,False
332,45,1,13,14,357.27,0.2705,0.393973,0.7685,9.29,False
333,46,1,64,65,242.44,0.2009,0.075102,0.7114,335.86,False
334,46,1,63,64,263.52,0.0907,0.597546,0.6991,864.17,False
335,46,1,25,26,296.76,0.3441,0.050259,0.6319,285.43,False
336,46,1,30,31,258.69,0.2602,0.13111,0.6866,38.31,False
337,46,1,64,65,228.53,0.0906,0.59324,0.7114,468.03,False
338,46,1,27,28,312.87,0.3336,0.048106,0.6473,283.5,False
339,46,1,12,13,170.88,0.1788,0.690232,0.5888,36.2,False
340,46,1,30,31,265.04,0.2569,0.13817,0.6866,220.54,False
341,46,1,59,60,277.9,0.1149,0.460861,0.7364,643.48,False
342,46,1,4,5,196.08,0.2417,0.812151,0.6532,3.58,False
343,46,1,6,7,282.01,0.8189,0.010866,0.7823,184.37,True
344,46,1,38,39,237.49,0.1726,0.324576,0.7521,488.88,False
345,46,1,34,35,238.42,0.1963,0.271696,0.7375,696.36,False
346,46,1,30,31,217.44,0.1113,0.693081,0.732,592.89,False
347,46,1,18,19,198.31,0.3034,0.192366,0.6897,382.05,False
348,46,1,30,31,245.77,0.0922,0.777951,0.732,598.45,False
349,46,1,32,33,137.32,0.1923,0.308574,0.732,858.34,False
350,46,1,1,2,122.71,1.0,0.512221,0.7637,42.48,False
351,46,1,19,20,207.4,0.4904,0.00869,0.6991,381.53,False
352,46,1,32,33,239.94,0.2615,0.11166,0.732,338.94,False
353,46,1,28,29,191.68,0.1208,0.668546,0.7114,694.9,False
354,46,1,10,11,310.7,0.1702,0.757786,0.732,929.61,False
355,46,1,5,6,124.25,0.2459,0.758358,0.8075,35.33,False
356,47,1,23,24,228.86,0.1573,0.571184,0.8236,498.71,False
357,47,1,14,15,256.9,0.3639,0.157412,0.8307,378.43,False
358,47,1,17,18,260.32,0.1435,0.710599,0.8311,483.62,False
